,bse,p/e,eps_2022,eps_2021,eps_2020,cagr
0,RELIANCE,36.3,57.77,50.39,45.7,31
1,TCS,29.8,104.36,83.7,88.64,24
2,HDFCBANK,20.8,66.65,56.44,47.89,17
3,INFY,26.2,50.48,42.36,36.49,37
4,HINDUNILVR,58.7,37.53,33.85,31.12,7
5,HDFC,30.3,75.8,66.67,102.59,13
6,ICICIBANK,19.6,33.59,23.41,12.25,32
7,KOTAKBANK,32.9,43.19,35.14,31.09,9
8,SBIN,11.1,35.49,22.87,16.23,35
9,BAJFINANCE,35.7,104.89,65.64,81.12,19
10,BHARTIARTL,211,-6.16,-42.82,-61.74,19
11,HCLTECH,25.9,40.07,32.22,33.05,35
12,WIPRO,16.7,22.14,18.36,15.19,30
13,ITC,26.1,12.22,10.59,12.31,36
14,ASIANPAINT,72.1,32.68,31.82,27.67,18
15,AXISBANK,13.3,42.43,21.5,5.77,20
16,MARUTI,34.6,124.68,140.02,187.06,14
17,LT,39.8,56.08,84,47.58,32
18,DMART,85.1,24.95,17.99,20.84,18
19,ULTRACEMCO,36.8,244.8,185.07,189.02,28
20,NESTLEIND,76.1,222.46,215.98,204.16,9
21,BAJAJFINSV,280,2.67,1.12,4.19,23
22,SUNPHARMA,88.6,-0.42,3.51,13.38,37
23,HDFCLIFE,74.5,5.72,6.73,6.42,0
24,ONGC,4.02,32.04,8.94,10.7,37
25,TITAN,69.7,24.56,9.88,17.09,35
26,JSWSTEEL,31.4,69.1,34.72,21.89,57
27,HINDZINC,12.1,22.79,18.89,16.11,33
28,POWERGRID,10.7,24.51,17.11,15.5,24
29,BAJAJ-AUTO,19.9,173.44,157.4,176.25,19
30,TATAMOTORS,467,-4.19,-7.21,-23.6,75
31,NTPC,10,16.62,14.2,10.22,26
32,TATASTEEL,6.73,27.03,14.27,5.99,56
33,DIVISLAB,31.2,111.07,73.63,51.71,14
34,M&M,21.2,39.7,7.92,10.7,46
35,ATGL,197,4.59,4.29,3.97,103
36,SHREECEM,63.6,658.7,640.77,435.19,8
37,TECHM,26.9,50.55,43.78,46.95,24
38,DABUR,66.3,8.11,7.82,6.62,8
39,BPCL,0,0,0,0,0
40,PIDILITIND,98,24.96,21.28,21.68,15
41,IOC,26.6,17.13,15.46,0.93,10
42,SBICARD,30.5,17.14,10.47,13.26,0
43,SBILIFE,66.4,15.05,14.56,14.22,16
44,COALINDIA,8.84,18.18,12.4,18.31,15
45,GRASIM,32.3,46.35,13.75,19.58,42
46,BRITANNIA,57.8,66.56,73.07,61.73,18
47,VEDL,6.58,46.39,28.26,-18.11,56
48,DRREDDY,31.3,97.53,131.47,176.79,17
49,GODREJCP,64.1,14.46,11.97,11.54,22
50,HINDALCO,21.5,24.51,4.42,2.76,51
51,INDUSINDBK,11.8,59.52,36.68,63.7,19
52,BERGEPAINT,69.1,7.72,7.01,7.2,10
53,ICICIPRULI,76.4,5.25,6.69,7.44,7
54,EICHERMOT,33.5,58.01,48.65,69.71,20
55,CIPLA,25.5,36.66,30.61,28.75,30
56,DLF,59.3,5.39,4.26,9.15,37
57,INDUSTOWER,14.9,23.63,12.39,9.44,-8
58,ICICIGI,32.8,25.89,32.4,26.27,0
59,SIEMENS,80.6,42.99,30.97,21.24,43
60,HAVELLS,70.2,19.08,16.61,11.71,28
61,GAIL,9.81,15.56,7.34,9.79,30
62,INDIGO,0,0,0,0,0
63,HDFCAMC,25.8,65.32,62.26,59.32,-12
64,HEROMOTOCO,17.6,123.77,148.37,181.9,9
65,NAUKRI,78.7,692.83,21.62,16.79,18
66,TATACONSUM,70.3,9.61,6.72,5.68,36
67,AMBUJACEM,35.5,10.48,9.02,7.7,30
68,MARICO,49.6,9,8.56,7.8,25
69,AUROPHARMA,19.2,24.83,53.13,32.03,5
70,BANDHANBNK,10.2,0.78,13.69,18.78,-7
71,MUTHOOTFIN,10.6,98.53,92.78,75.26,13
72,LUPIN,110,-4.15,27.74,16.06,2
73,UPL,29,15.39,2.88,6.03,27
74,BIOCON,139,0.72,2.34,3.67,-8
75,TORNTPHARM,49.4,29.3,33.62,27.73,16
76,BOSCHLTD,38.8,412.7,163.59,220.32,20
77,COLPAL,38.1,39.65,38.07,30.02,9
78,NMDC,6.66,32.07,21.34,11.79,26
79,GLAND,19.9,73.78,60.94,49.88,0
80,APOLLOHOSP,61.8,46.26,7.3,33.8,45
81,CHOLAFIN,25,26.15,18.47,12.84,52
82,PGHH,88.1,177.37,200.79,133.42,11
83,PNB,34,3.14,1.93,0.5,11
84,PEL,5.19,23.97,1.77,6.42,11
85,SAIL,12,29.09,9.32,4.89,46
86,JUBLFOOD,63.3,6.63,3.54,4.17,17
87,BAJAJHLDNG,38.9,146.51,17.84,164.15,31
88,YESBANK,49.1,0.43,-1.38,-13.08,-36
89,BANKBARODA,7.45,14.06,1.6,1.18,34
90,IDBI,15.7,2.27,1.26,-12.41,29
91,HONAUT,77.7,383.57,520.32,555.88,6
92,PIIND,39.7,54.03,46.83,32.03,33
93,JINDALSTEL,8.49,81.2,70.14,6.06,75
94,GODREJPROP,48.5,18.92,-1.55,15.24,14
95,HINDPETRO,0,0,0,0,0
96,IGL,20.5,18.78,14.37,16.24,5
97,PETRONET,10.3,22.35,19.66,17.98,5
98,SRF,35.2,50.84,31.23,33.9,53
99,MRF,62.5,1526,29450,3289,10
